,Channel,Amplitude,Frequency,Pulse Width,Recorded date,Resolution
0,4,40,-1,0,7/2/22,26
1,3,30,-1,200,7/2/22,37
2,7,20,-1,0,7/2/22,27
3,2,60,-1,0,7/2/22,36
4,6,30,-1,0,7/2/22,36
5,2,100,-1,0,7/2/22,36
6,6,25,-1,0,7/2/22,36
7,5,80,-1,200,7/2/22,36
8,3,20,-1,200,7/2/22,37
9,2,90,-1,0,7/2/22,36
10,6,20,-1,0,7/2/22,36
11,5,110,-1,255,7/2/22,36
12,2,127,-1,100,7/2/22,36
13,7,5,-1,0,7/2/22,27
14,5,70,-1,200,7/2/22,36
15,5,90,-1,255,7/2/22,36
16,3,50,-1,200,7/2/22,36
17,5,70,-1,255,7/2/22,36
18,2,127,-1,250,7/2/22,36
19,2,120,-1,0,7/2/22,36
20,4,25,-1,0,7/2/22,26
21,3,45,-1,200,7/2/22,37
22,5,120,-1,255,7/2/22,36
23,6,10,-1,0,7/2/22,36
24,2,127,-1,150,7/2/22,36
25,2,127,-1,0,7/2/22,36
26,2,127,-1,200,7/2/22,36
27,4,20,-1,0,7/2/22,26
28,4,35,-1,0,7/2/22,26
29,2,127,-1,50,7/2/22,36
30,4,10,-1,0,7/2/22,26
31,7,10,-1,0,7/2/22,27
32,5,60,-1,255,7/2/22,36
33,3,60,-1,200,7/2/22,37
34,3,35,-1,200,7/2/22,37
35,4,15,-1,0,7/2/22,26
36,7,15,-1,0,7/2/22,27
37,7,30,-1,0,7/2/22,27
38,2,3,-1,-1,7/2/22,36
39,2,5,-1,-1,7/2/22,36
40,2,4,-1,-1,7/2/22,36
41,2,2,-1,-1,7/2/22,36
42,5,50,-1,255,7/2/22,36
43,5,90,-1,200,7/2/22,36
44,4,45,-1,0,7/2/22,26
45,5,80,-1,255,7/2/22,36
46,2,70,-1,0,7/2/22,36
47,4,30,-1,0,7/2/22,26
48,2,110,-1,0,7/2/22,36
49,2,-1,-1,-1,7/2/22,36
50,7,25,-1,0,7/2/22,27
51,5,100,-1,255,7/2/22,36
52,3,25,-1,200,7/2/22,37
53,4,5,-1,0,7/2/22,26
54,2,80,-1,0,7/2/22,36
55,6,15,-1,0,7/2/22,36
56,3,40,-1,200,7/2/22,37
57,5,60,-1,200,7/2/22,36
58,6,5,-1,0,7/2/22,36
59,2,120,150,0,4/3/22,33
60,2,120,200,0,4/3/22,33
61,2,120,100,0,4/3/22,33
62,2,120,20,0,4/3/22,33
63,2,120,50,0,4/3/22,33
64,2,120,250,0,4/3/22,33
65,2,120,10,0,4/3/22,33
66,2,120,-1,25,3/3/22,32
67,2,120,-1,100,3/3/22,32
68,2,120,-1,125,3/3/22,32
69,2,120,-1,175,3/3/22,32
70,2,120,-1,200,3/3/22,32
71,2,120,-1,150,3/3/22,32
72,2,120,-1,0,3/3/22,32
73,2,120,-1,250,3/3/22,32
74,2,120,-1,225,3/3/22,32
75,2,120,-1,75,3/3/22,32
76,2,120,-1,50,3/3/22,32
77,4,25,200,0,2/14/22,36
78,2,120,-1,50,2/14/22,36
79,4,15,-1,0,2/14/22,36
80,4,20,200,0,2/14/22,36
81,4,10,200,0,2/14/22,36
82,4,15,200,0,2/14/22,36
83,5,120,-1,0,2/14/22,36
84,4,30,-1,0,2/14/22,26
85,5,80,-1,150,2/14/22,36
86,2,120,-1,0,2/14/22,36
87,4,10,-1,0,2/14/22,36
88,5,90,-1,0,2/14/22,36
89,4,25,-1,0,2/14/22,36
90,5,80,-1,200,2/14/22,36
91,2,120,-1,225,2/14/22,36
92,4,30,200,0,2/14/22,36
93,4,45,200,0,2/14/22,36
94,2,110,-1,0,2/14/22,36
95,2,120,-1,250,2/14/22,36
96,4,35,200,0,2/14/22,36
97,5,100,-1,0,2/14/22,36
98,4,35,-1,0,2/14/22,36
99,2,80,-1,0,2/14/22,36
100,2,127,-1,0,2/14/22,36
101,5,80,-1,50,2/14/22,36
102,2,120,-1,175,2/14/22,36
103,2,90,-1,0,2/14/22,36
104,2,120,-1,75,2/14/22,36
105,5,80,-1,250,2/14/22,36
106,5,127,-1,0,2/14/22,36
107,2,120,-1,200,2/14/22,36
108,5,80,-1,0,2/14/22,36
109,2,120,-1,100,2/14/22,36
110,4,20,-1,0,2/14/22,36
111,5,110,-1,0,2/14/22,36
112,2,120,-1,25,2/14/22,36
113,2,100,-1,0,2/14/22,36
114,4,45,-1,0,2/14/22,36
115,2,120,-1,150,2/14/22,36
116,4,40,200,0,2/14/22,36
117,5,80,-1,100,2/14/22,36
118,4,40,-1,0,2/14/22,36
119,2,120,-1,125,2/14/22,36
120,6,20,-1,0,1/31/22,31
121,5,110,-1,255,1/31/22,31
122,2,127,-1,250,1/31/22,31
123,2,127,-1,150,1/31/22,31
124,2,127,-1,0,1/31/22,31
125,6,10,-1,50,1/31/22,31
126,6,30,-1,0,1/31/22,31
127,5,110,-1,200,1/31/22,31
128,5,80,-1,200,1/31/22,31
129,5,60,-1,200,1/31/22,31
130,2,105,-1,255,1/31/22,31
131,5,100,-1,50,1/31/22,31
132,6,25,-1,0,1/31/22,31
133,2,127,-1,100,1/31/22,31
134,1,10,-1,150,1/31/22,31
135,1,15,-1,0,1/31/22,31
136,5,60,-1,255,1/31/22,31
137,5,80,-1,255,1/31/22,31
138,6,45,-1,0,1/31/22,31
139,5,105,-1,255,1/31/22,31
140,1,25,-1,0,1/31/22,31
141,2,120,-1,255,1/31/22,31
